SBID,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,BMAJ,BMIN,BPA
8537,RACS_0233+37A,35,02:19:38.568,+39:09:33.9098,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,29.260,7.800,5.700
8537,RACS_0249+31A,0,02:46:56.285,+31:54:22.86,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,21.630,8.540,1.300
8537,RACS_0249+31A,1,02:51:53.124,+31:54:22.86,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,21.360,8.520,2.400
8537,RACS_0249+31A,2,02:46:57.936,+30:51:23.08,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.990,8.840,1.500
8537,RACS_0249+31A,3,02:51:51.475,+30:51:23.08,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,21.010,8.820,2.700
8537,RACS_0249+31A,4,02:41:54.218,+32:56:40.2698,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,22.570,8.450,0.200
8537,RACS_0249+31A,5,02:46:54.547,+32:57:23.26,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,26.130,8.090,1.500
8537,RACS_0249+31A,6,02:51:54.864,+32:57:23.26,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,22.600,8.380,2.400
8537,RACS_0249+31A,7,02:56:55.19,+32:56:40.2698,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,22.650,8.430,3.700
8537,RACS_0249+31A,8,02:56:49.975,+31:53:40.34,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,24.930,8.200,3.400
8537,RACS_0249+31A,9,02:56:45.029,+30:50:41.06,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.760,8.770,3.900
8537,RACS_0249+31A,10,02:56:40.332,+29:47:41.06,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.320,8.840,3.600
8537,RACS_0249+31A,11,02:51:49.91,+29:48:22.64,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.330,8.910,2.400
8537,RACS_0249+31A,12,02:46:59.501,+29:48:22.64,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.130,8.920,1.400
8537,RACS_0249+31A,13,02:42:09.077,+29:47:41.06,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.080,8.850,0.100
8537,RACS_0249+31A,14,02:42:04.382,+30:50:41.06,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,20.970,8.840,0.200
8537,RACS_0249+31A,15,02:41:59.434,+31:53:40.34,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,21.620,8.530,0.100
8537,RACS_0249+31A,16,02:36:44.705,+33:58:14.88,2019-04-21 04:57:26.611,2019-04-21 05:12:42.278,23.560,8.320,-0.900
