SBID,OBS_FREQ,FIELD_NME,BEM,R_HMS,DEC_DMS,DTEOBS,DTEEND,NINT,BMJ,BMIN,BP
45536,887.5,VAST_1600-50,24,16:16:32.261,-50:32:53.520,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.510287899889777,11.40888657933702,-15.788888254748
45536,887.5,VAST_1600-50,25,16:16:55.042,-51:35:47.900,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.657073900231635,11.402138436135408,-15.9766780113812
45536,887.5,VAST_1600-50,26,16:17:19.258,-52:38:43.730,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.792568851185417,11.374451023786776,-16.1586989866387
45536,887.5,VAST_1600-50,27,16:10:23.870,-52:41:39.260,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.757611864989643,11.338945451622216,-13.7297709671513
45536,887.5,VAST_1600-50,28,16:03:28.010,-52:43:07.070,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.742926177273604,11.32376421850128,-11.3275330944676
45536,887.5,VAST_1600-50,29,15:56:31.990,-52:43:07.070,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.717249165413008,11.295936311090436,-8.98396445624477
45536,887.5,VAST_1600-50,30,15:49:36.130,-52:41:39.260,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.665666290444577,11.25002106739224,-6.6608236956415
45536,887.5,VAST_1600-50,31,15:42:40.742,-52:38:43.730,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.650230132223992,11.22964685577126,-4.4175971937776
45536,887.5,VAST_1600-50,32,15:43:04.958,-51:35:47.900,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.516907423679042,11.24514438124428,-4.3860328395181
45536,887.5,VAST_1600-50,33,15:43:27.739,-50:32:53.520,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.38783572118615,11.262644158839588,-4.3395660783063
45536,887.5,VAST_1600-50,34,15:43:49.198,-49:29:59.350,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.22943224295572,11.249858560835843,-4.2797514016438
45536,887.5,VAST_1600-50,35,15:44:09.439,-48:27:04.140,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.113835953973856,11.268419918438411,-4.1494395863782
45538,887.5,VAST_1806-25,0,18:04:28.970,-24:36:13.280,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.770950200085656,11.448305111963233,6.7524603818188
45538,887.5,VAST_1806-25,1,18:09:06.122,-24:36:13.280,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.775740631213283,11.480449757756077,5.50204097238941
45538,887.5,VAST_1806-25,2,18:04:27.775,-25:39:13.070,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.773718549744984,11.426163646084127,6.27752335530364
45538,887.5,VAST_1806-25,3,18:09:07.320,-25:39:13.070,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.763412499914963,11.445886463297004,5.01533112665487
45538,887.5,VAST_1806-25,4,17:59:55.181,-23:32:40.740,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.762437390196265,11.43075136649976,8.33328217118065
45538,887.5,VAST_1806-25,5,18:04:30.101,-23:33:12.820,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.760264484832277,11.454551713202148,7.18490891881751
45538,887.5,VAST_1806-25,6,18:09:04.992,-23:33:12.820,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.759606205788923,11.482213874954653,6.02446788051133
45538,887.5,VAST_1806-25,7,18:13:39.912,-23:32:40.740,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.76906979855016,11.521457874931968,4.89249334979441
45538,887.5,VAST_1806-25,8,18:13:43.303,-24:35:40.920,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.763971813897289,11.501342731665396,4.38063994844766
45538,887.5,VAST_1806-25,9,18:13:46.891,-25:38:40.450,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.770960346450217,11.483534691611316,3.72016254215752
45538,887.5,VAST_1806-25,10,18:13:50.686,-26:41:40.560,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.78777083601474,11.473331753446129,3.37759389279172
45538,887.5,VAST_1806-25,11,18:09:08.585,-26:42:13.540,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.78028462029041,11.435177897727083,4.61556061097872
45538,887.5,VAST_1806-25,12,18:04:26.508,-26:42:13.540,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.796392843352548,11.420273894197177,5.66561316427584
45538,887.5,VAST_1806-25,13,17:59:44.407,-26:41:40.560,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.792176469622584,11.394461156388948,7.23778864892907
45538,887.5,VAST_1806-25,14,17:59:48.202,-25:38:40.450,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.763489129195644,11.391540368910912,7.59979568864373
45538,887.5,VAST_1806-25,15,17:59:51.792,-24:35:40.920,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.795239626980228,11.44502714661894,7.94164387872298
45538,887.5,VAST_1806-25,16,17:55:25.514,-22:28:34.820,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.751815593666988,11.428583673002544,9.82441863401672
45538,887.5,VAST_1806-25,17,17:59:58.382,-22:29:38.620,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.75651204581376,11.44696850582904,8.74358546487233
45538,887.5,VAST_1806-25,18,18:04:31.169,-22:30:10.480,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.773413071227736,11.483433883868075,7.61642926777389
45538,887.5,VAST_1806-25,19,18:09:03.926,-22:30:10.480,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.764471359836708,11.502659734582068,6.51183189319381
45538,887.5,VAST_1806-25,20,18:13:36.710,-22:29:38.620,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.76467937328034,11.534091255135865,5.39710426865137
45538,887.5,VAST_1806-25,21,18:18:09.578,-22:28:34.820,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.794026507407864,11.596483325087569,4.24004116445057
45538,887.5,VAST_1806-25,22,18:18:14.914,-23:31:36.480,2022-11-14 06:15:20.660,2022-11-14 06:27:27.250,73,12.794522264573365,11.578501057474009,3.68889192986203
