SBID,OBS_FREQ,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,BMAJ,BMIN,BPA
8537,864.5,RACS_0303+37A,4,02:55:42.007,+39:11:23.14,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,29.48,7.88,7.0
8537,864.5,RACS_0303+37A,5,03:01:07.188,+39:12:17.7502,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,33.57,7.59,7.8
8537,864.5,RACS_0303+37A,6,03:06:32.386,+39:12:17.7502,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,29.72,7.8,9.2
8537,864.5,RACS_0303+37A,7,03:11:57.569,+39:11:23.14,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,29.89,7.81,10.7
8537,864.5,RACS_0303+37A,8,03:11:50.465,+38:08:23.5702,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,31.93,7.62,10.1
8537,864.5,RACS_0303+37A,9,03:11:43.723,+37:05:24.58,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.32,7.9,10.6
8537,864.5,RACS_0303+37A,10,03:11:37.322,+36:02:24.9,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,26.63,8.06,10.0
8537,864.5,RACS_0303+37A,11,03:06:25.634,+36:03:17.24,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,26.55,8.12,9.0
8537,864.5,RACS_0303+37A,12,03:01:13.939,+36:03:17.24,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,26.31,8.14,8.1
8537,864.5,RACS_0303+37A,13,02:56:02.251,+36:02:24.9,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,26.27,8.17,6.7
8537,864.5,RACS_0303+37A,14,02:55:55.85,+37:05:24.58,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,27.52,8.09,6.9
8537,864.5,RACS_0303+37A,15,02:55:49.109,+38:08:23.5702,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,28.07,7.96,7.0
8537,864.5,RACS_0303+37A,16,02:50:04.397,+40:12:33.5498,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,30.83,7.8,5.4
8537,864.5,RACS_0303+37A,17,02:55:34.517,+40:14:24.54,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,31.03,7.82,6.9
8537,864.5,RACS_0303+37A,18,03:01:04.692,+40:15:20.02,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,34.24,7.59,7.9
8537,864.5,RACS_0303+37A,19,03:06:34.882,+40:15:20.02,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,30.79,7.59,9.5
8537,864.5,RACS_0303+37A,20,03:12:05.057,+40:14:24.54,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,31.08,7.47,10.7
8537,864.5,RACS_0303+37A,21,03:17:35.177,+40:12:33.5498,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,31.29,7.62,11.9
8537,864.5,RACS_0303+37A,22,03:17:22.706,+39:09:33.9098,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,29.51,7.61,11.9
8537,864.5,RACS_0303+37A,23,03:17:10.879,+38:06:35.96,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,31.87,7.43,11.3
8537,864.5,RACS_0303+37A,24,03:16:59.652,+37:03:38.48,2019-04-21 04:42:00.922,2019-04-21 04:57:16.675,30.76,7.59,11.2
