# example of an input csv file.
# RA and Dec can be in either format shown or decimal degrees.
# required columns are ra and dec. name is optional but recommnded.
# You can include any other columns you like.
name,ra,dec
SN1999ek,05:36:31.60,+16:38:17.8
SN2006mq,08:06:12.39,-27:33:45.4
SN2001bf,18:01:33.99,+26:15:02.3
SN2011kg,01:39:45.51,+29:55:27.0
SN2007aa,12:00:27.69,-01:04:51.6
SN2007ax,08:22:43.26,+22:33:16.9
PTF15dtg,02:30:20.05,+37:14:06.7
SN2005iq,23:58:32.50,-18:42:33.0
LSQ13ry,10:32:48.00,+04:11:51.4
SN2006is,05:17:34.37,-23:46:54.2
SN1998dh,23:14:40.31,+04:32:14.1
SN2001ay,14:26:17.00,+26:14:55.8
SN2006au,17:57:13.56,+12:11:03.2
SN2006et,00:42:45.82,-23:33:30.4
AT2017dzs,23:32:28.900,+23:56:11.20
MLS150612:112519+081418,11:25:19.23,+08:14:18.5
SN2005kl,12:24:35.68,+39:23:03.5
CSS121015:004244+132827,00:42:44.380,+13:28:26.20
SN1999gp,02:31:39.15,+39:22:52.3
PTF12gzk,22:12:41.53,+00:30:43.1
SN2016ieq,21:22:25.187,-11:56:54.82
ASASSN-14kg,01:44:38.380,+35:48:20.45
Gaia15aab,16:43:22.50,+14:30:10.7
SN2016ezh,01:58:05.0,-00:52:22
SN2018aoz,11:51:01.830,-28:44:38.63
SN2001bt,19:13:46.75,-59:17:22.8
SN2005A,02:30:43.25,-02:56:19.8
SN2008fq,20:25:06.19,-24:48:27.6
Gaia17bim,00:09:15.742,+30:29:09.31
SN2003gs,02:27:38.36,-01:09:35.4
SN2003W,09:46:49.48,+16:02:37.6
LSQ11ot,05:15:48.30,+06:46:39.0
